examples/simple_datasets/speech/SEGS/EN/VCTK/p225/000/0.TextGridStage3|Please call Stella.
examples/simple_datasets/speech/SEGS/EN/VCTK/p225/000/1.TextGridStage3|She can scoop these things into three red bags, and we will go meet her Wednesday at the train station.
examples/simple_datasets/speech/SEGS/EN/VCTK/p225/000/2.TextGridStage3|The rainbow is a division of white light into many beautiful colors.
examples/simple_datasets/speech/SEGS/EN/VCTK/p225/000/3.TextGridStage3|When the sunlight strikes raindrops in the air, they act as a prism and form a rainbow.
examples/simple_datasets/speech/SEGS/EN/VCTK/p225/000/4.TextGridStage3|People look, but no one ever finds it.
examples/simple_datasets/speech/SEGS/EN/VCTK/p225/000/5.TextGridStage3|These take the shape of a long round arch, with its path high above, and its two ends apparently beyond the horizon.
examples/simple_datasets/speech/SEGS/EN/VCTK/p225/000/6.TextGridStage3|There is, according to legend, a boiling pot of gold at one end.
examples/simple_datasets/speech/SEGS/EN/VCTK/p226/000/7.TextGridStage3|Please call Stella.
examples/simple_datasets/speech/SEGS/EN/VCTK/p226/000/8.TextGridStage3|Six spoons of fresh snow peas, five thick slabs of blue cheese, and maybe a snack for her brother Bob.
examples/simple_datasets/speech/SEGS/EN/VCTK/p226/000/9.TextGridStage3|Ask her to bring these things with her from the store.
examples/simple_datasets/speech/SEGS/EN/VCTK/p226/000/10.TextGridStage3|We also need a small plastic snake and a big toy frog for the kids.
examples/simple_datasets/speech/SEGS/EN/VCTK/p225/000/11.TextGridStage3|Ask her to bring these things with her from the store.
examples/simple_datasets/speech/SEGS/EN/VCTK/p226/000/12.TextGridStage3|When the sunlight strikes raindrops in the air, they act as a prism and form a rainbow.
examples/simple_datasets/speech/SEGS/EN/VCTK/p226/000/13.TextGridStage3|She can scoop these things into three red bags, and we will go meet her Wednesday at the train station.
examples/simple_datasets/speech/SEGS/EN/VCTK/p226/000/14.TextGridStage3|People look, but no one ever finds it.
examples/simple_datasets/speech/SEGS/EN/VCTK/p226/000/15.TextGridStage3|There is, according to legend, a boiling pot of gold at one end.
examples/simple_datasets/speech/SEGS/EN/VCTK/p226/000/16.TextGridStage3|The rainbow is a division of white light into many beautiful colors.
examples/simple_datasets/speech/SEGS/EN/VCTK/p226/000/17.TextGridStage3|These take the shape of a long round arch, with its path high above, and its two ends apparently beyond the horizon.
examples/simple_datasets/speech/SEGS/EN/VCTK/p225/000/18.TextGridStage3|Six spoons of fresh snow peas, five thick slabs of blue cheese, and maybe a snack for her brother Bob.
examples/simple_datasets/speech/SEGS/EN/VCTK/p225/000/19.TextGridStage3|We also need a small plastic snake and a big toy frog for the kids.
